source,target,rho,abs_rho
T09,S05,-0.14916468793710297,0.14916468793710297
S05,S13,0.14913918441025015,0.14913918441025015
T13,S11,0.14912295540490814,0.14912295540490814
T15,S10,0.14854607660866676,0.14854607660866676
T12,E04,-0.1483849179999492,0.1483849179999492
T13,V11,0.14830042535771668,0.14830042535771668
T03,S11,0.1482561118122607,0.1482561118122607
T05,E12,0.14783386932225262,0.14783386932225262
T02,S01,0.14782807524751135,0.14782807524751135
T05,T10,0.14762729725461718,0.14762729725461718
T10,S09,0.14734366975580876,0.14734366975580876
T03,S09,0.14729062908970667,0.14729062908970667
T08,E04,-0.1468048583212274,0.1468048583212274
E04,E12,0.14647283810544726,0.14647283810544726
E13,S15,0.14637532288012758,0.14637532288012758
T10,E03,-0.14619950601738269,0.14619950601738269
E04,S11,0.14603782475464633,0.14603782475464633
E04,V01,0.14552656239915085,0.14552656239915085
E01,E15,0.14522210584639514,0.14522210584639514
S10,V13,0.14509723925450713,0.14509723925450713
E14,S04,0.14505887592525546,0.14505887592525546
T11,V05,0.14499091565553787,0.14499091565553787
T15,S07,0.14399136027749987,0.14399136027749987
E01,E11,0.14385579051324437,0.14385579051324437
T06,T07,0.14379562862028142,0.14379562862028142
S04,S07,0.14339646934826375,0.14339646934826375
T14,V10,0.1428216132605833,0.1428216132605833
T13,E04,-0.1426282987345134,0.1426282987345134
T06,E07,0.14252754439232682,0.14252754439232682
E06,S14,0.14228303603885073,0.14228303603885073
T03,E15,0.14224753741939908,0.14224753741939908
S08,V14,0.14196280988451762,0.14196280988451762
T05,E03,-0.14154905006642668,0.14154905006642668
T07,E11,0.14147752428264945,0.14147752428264945
T03,E13,-0.1413242665171996,0.1413242665171996
S01,S13,0.14103100569179183,0.14103100569179183
